Column,Data Type,Non-null Count,Missing Count,Unique Values,Example Values
customerID,object,7043,0,7043,"7590-VHVEG, 5575-GNVDE, 3668-QPYBK"
gender,object,7043,0,2,"Female, Male"
SeniorCitizen,int64,7043,0,2,"0, 1"
Partner,object,7043,0,2,"Yes, No"
Dependents,object,7043,0,2,"No, Yes"
tenure,int64,7043,0,73,"1, 34, 2"
PhoneService,object,7043,0,2,"No, Yes"
MultipleLines,object,7043,0,2,"No, Yes"
InternetService,object,7043,0,3,"DSL, Fiber optic, No"
OnlineSecurity,object,7043,0,2,"No, Yes"
OnlineBackup,object,7043,0,2,"Yes, No"
DeviceProtection,object,7043,0,2,"No, Yes"
TechSupport,object,7043,0,2,"No, Yes"
StreamingTV,object,7043,0,2,"No, Yes"
StreamingMovies,object,7043,0,2,"No, Yes"
Contract,object,7043,0,3,"Month-to-month, One year, Two year"
PaperlessBilling,object,7043,0,2,"Yes, No"
PaymentMethod,object,7043,0,4,"Electronic check, Mailed check, Bank transfer (automatic)"
MonthlyCharges,float64,7043,0,1585,"29.85, 56.95, 53.85"
TotalCharges,float64,7043,0,6531,"29.85, 1889.5, 108.15"
Churn,object,7043,0,2,"No, Yes"
